Player,Caliber,Instagram Followers,Twitter Followers,Reach (Combined Following),Brand,Dates,Type of Activation,Distribution,Additional Notes,Player Fee
Jamal Murray,Rising Star,"(not listed)","(not listed)","(not listed)",P&P,"(date not listed)","Appearance - Post Up","(not listed)","(not listed)","$45,000"
Bobby Portis,Hometown Hero,"(not listed)","(not listed)","(not listed)",Amazon,"(date not listed)","BBA Self-Shot production shoot - 1 IGS",Instagram,"(not listed)","$20,000"
Dennis Smith Jr,Vet,"(not listed)","(not listed)","(not listed)","2K","(date not listed)","60-min appearance","Appearance","(not listed)","$20,000"
Lonnie Walker Jr,Hometown Hero,"(not listed)","(not listed)","(not listed)","2K","(date not listed)","60-min appearance","Appearance","(not listed)","$20,000"
Sidy Cissoko,Rising Star,"(not listed)","(not listed)","(not listed)",Panini,"(date not listed)","content capture + 1 IG In-feed",Instagram,"450 Gives Promotion + Panini","$7,500"
Amen Thompson,Rising Star,"(not listed)","(not listed)","(not listed)",Panini,"(date not listed)","content capture + 1 IG In-feed",Instagram,"450 Gives Promotion + Panini","$10,000"
Aaron Holiday,Vet,"(not listed)","(not listed)","(not listed)",P&P,11/24/23,"content capture + 1 IG In-feed",Instagram,"450 Gives Promotion","$3,500"
Chimezie Metu,Vet,"(not listed)","(not listed)","(not listed)",P&P,11/10/23,"Content capture + 1 IG In-feed",Instagram,"450 Gives Promotion","$3,500"
Jae'Sean Tate,Vet,"(not listed)","(not listed)","(not listed)",P&P,12/3/23,"1-hour appearance; 1 IG In-feed",Instagram,"450 Gives Promotion + Appearance","$7,000"
Tim Hardaway Jr,Vet,"(not listed)","(not listed)","(not listed)",ULTRA,12/17/23,"Superior Access Social Post",Instagram,"1 IG In-Feed","$15,000"
Bogdan Bogdanovic,Vet,"(not listed)","(not listed)","(not listed)",ULTRA,2/17/24,"Ultra ASG Social Post",Instagram,"1 IG In-Feed","$20,000"
Trey Murphy,Rising Star,"(not listed)","(not listed)","(not listed)",ULTRA,2/17/24,"Ultra ASG Social Post",Instagram,"1 IG In-Feed","$15,000"
Giannis Antetekounmpo,MVP,"(not listed)","(not listed)","(not listed)",Chase,2/18/24,"60-min appearance + content capture + 2 social posts",Instagram,"Chase Freedom - BH Deli","$125,000"
Allen Iverson,Legend,"(not listed)","(not listed)","(not listed)",Chase,2/16/24,"60-min appearance + content capture + 2 social posts",Instagram,"Chase Freedom - BH Deli","$100,000"
Lauri Markannen,All-Star,"(not listed)","(not listed)","(not listed)","NBA Infinite",2/17/24,"60-min appearance + 2 social posts",Instagram,"Tencent/NBA Infinite - BH Deli","$35,000"
Obi Toppin,Hometown Hero,"(not listed)","(not listed)","(not listed)",P&P,2/17/24,"45-min appearance + 1 IGS + 1 In-feed",Instagram,"BH Deli Host","$25,000"
Shaedon Sharpe,Rising Star,"(not listed)","(not listed)","(not listed)","2K",2/17/24,"30-min M&G + 1 IGS + 1 In-feed","(not listed)","2K Private M&G","$30,000"
Josh Okogie,Vet,"(not listed)","(not listed)","(not listed)",Sprite,4/2/24,"60min appearance + IG In-feed",Instagram,"Boys & Girls Club of PHX","$7,500"
